1. cislo z 1. osudi,2. cislo z 1. osudi,3. cislo z 1. osudi,4. cislo z 1. osudi,5. cislo z 1. osudi,1. cislo z 2. osudi,2. cislo z 2. osudi
17,32,34,4,49,4,9
13,32,41,4,39,6,8
9,21,39,2,18,4,10
37,6,2,18,29,10,12
45,18,27,49,41,9,7
11,22,5,2,24,12,7
10,38,6,11,20,3,9
26,43,18,9,41,9,4
40,20,22,34,26,12,8
41,16,27,45,25,3,9
36,2,40,13,22,3,5
39,20,38,30,44,12,2
44,31,26,15,23,1,8
17,15,8,12,46,8,1
48,49,17,42,43,3,7
30,16,17,35,26,3,9
36,47,39,7,35,8,3
10,44,5,8,3,12,7
50,34,18,13,24,6,5
2,11,49,47,18,2,7
17,39,26,37,35,4,3
21,30,4,5,43,5,11
39,44,32,18,42,7,4
40,9,7,48,49,7,8
38,17,35,23,15,9,4
28,11,15,24,41,12,3
7,1,48,33,11,9,12
28,13,14,25,42,12,11
23,20,11,37,46,9,11
8,48,6,42,4,6,11
32,46,37,9,16,7,12
49,48,25,12,6,11,12
47,12,37,8,44,10,7
13,6,32,21,8,3,6
36,33,3,13,47,11,3
47,20,9,14,15,8,12
6,11,43,49,26,5,8
9,44,34,35,42,11,6
34,44,28,33,37,4,11
3,47,50,37,45,5,10
37,28,31,29,50,4,5
47,50,28,14,31,7,12
27,41,9,45,16,4,1
7,41,34,49,14,9,4
16,6,35,11,44,6,2
12,31,47,15,1,10,9
9,31,27,17,16,1,9
4,29,34,9,37,3,12
43,20,30,41,21,11,10
1,44,17,7,50,10,2
37,10,15,46,25,7,12
42,10,20,36,3,8,10
6,14,45,1,2,2,7
